City,Country,Matched address,Latitude,Longitude
Karlovy Vary,Czech Republic,"Carlsbad, okres Karlovy Vary, Czechia",50.230469,12.871077
Prague,Czech Republic,"Prague, okres Hlavní město Praha, Czechia",50.087465,14.421254
Olomouc,Czech Republic,"Olomouc, okres Olomouc, Czechia",49.594057,17.251143
Brno,Czech Republic,"Brno, okres Brno-město, Czechia",49.192244,16.611338
Hluboka nad Vltavou,Czech Republic,"Hluboká nad Vltavou, Hluboká n.Vlt., okres České Budějovice, Czechia",49.077394,14.434634
Pardubice,Czech Republic,"Pardubice, okres Pardubice, Czechia",50.038581,15.779136
Nagykovácsi,Hungary,"Nagykovácsi, 2094, Hungary",47.576236,18.882064
Budapest,Hungary,"Budapest, Hungary",47.498382,19.040471
Pápa,Hungary,"Pápa, Veszprém, Hungary",47.326109,17.470529
Chisinau,Moldova,"Buiucani Sector, Chișinau, Chișinău Municipality, Moldova",47.024471,28.832253
Warsaw,Poland,"Warsaw, Poland",52.231924,21.006727
Gdynia,Poland,,,
Wrocław,Poland,"Wroclaw, Wrocław, Poland",51.108978,17.032669
Łódź,Poland,"Łódź, Poland",51.768732,19.456991
Kraków,Poland,"Krakow, Poland",50.061947,19.936856
Gdansk,Poland,,,
Poznań,Poland,"Poznań, Poland",52.408266,16.93352
Lublin,Poland,"Lublin, Poland",51.250559,22.570102
Katowice,Poland,"Katowice, Poland",50.259899,19.021585
Szczecin,Poland,"Szczecin, Poland",53.430182,14.550962
Bydgoszcz,Poland,"Bydgoszcz, Poland",53.121965,18.000253
Bucharest,Romania,"010051 Bucharest, Romania",44.436141,26.10272
Ilfov County,Romania,"Ilfov, Romania",44.501707,26.244908
Voluntari,Romania,"Voluntari, Ilfov, Romania",44.490278,26.177279
Constanta,Romania,"Constanța, Romania",44.172417,28.62082
Ilfov,Romania,,,
Timis,Romania,"Timiș, Romania",45.690801,21.63221
Iași,Romania,"Iași, Romania",47.161494,27.58405
Cluj-Napoca,Romania,"400133 Cluj-Napoca, Romania",46.769379,23.589954
Oradea,Romania,"410640 Oradea, Romania",47.054916,21.928523
Prahova,Romania,"Prahova, Romania",45.105599,26.040238
Moscow,Russia,"Moscow, Central Administrative Okrug, Russia",55.750446,37.617494
Tatarstan,Russia,"Tatarstan, Russia",55.448217,50.476359
Peterburg,Russia,New York,40.741895,-73.989308
Saint Petersburg,Russia,"Saint Petersburg, Russia, 190000",59.938732,30.316229
Tyumen,Russia,"Tyumen, Tyumen Oblast, Russia, 625000",57.153534,65.542274
Kazan,Russia,,,
Lesozavodsk,Russia,"Lesozavodsk, Primorsky Krai, Russia, 692030",45.474774,133.418216
Samara,Russia,"Samara, Samara Oblast, Russia, 443028",53.198627,50.113987
Kaluga Region,Russia,"Cultivars Testing Station Of Kaluga Region, сельское поселение Село Муромцево, Babyninsky District, Russia",54.514095,35.958946
Nizhny Novgorod Oblast,Russia,"Nizhny Novgorod Oblast, Russia",55.471803,44.091159
Bratislava,Slovakia,"Bratislava, Slovakia",48.151699,17.109306
Košice,Slovakia,"04151 Košice, Slovakia",48.717227,21.249677
Kyiv,Ukraine,"Kyiv, 1001, Ukraine",50.450034,30.524136
Dnipro,Ukraine,"Dnipro, Dnipro Municipality, Ukraine",48.468022,35.041771
Durres,Albania,"2001 Durrës, Albania",41.318829,19.445163
Tirana,Albania,"1001-1028 Tirana, Albania",41.326873,19.818791
La Massana,Andorra,"AD400 La Massana, Andorra",42.544201,1.516375
Encamp,Andorra,"AD200 Encamp, Andorra",42.535978,1.583675
Andorra la Vella,Andorra,"AD500 Andorra la Vella, Andorra",42.506939,1.521247
Sarajevo,Bosnia and Herzegovina,"71000 Sarajevo, B&H",43.851977,18.386687
Bihać,Bosnia and Herzegovina,"77101 Bihać, B&H",44.814641,15.869086
Tuzla,Bosnia and Herzegovina,"75000 Tuzla, B&H",44.539111,18.675193
Zenica,Bosnia and Herzegovina,"72000 Zenica, B&H",44.200713,17.908095
Mostar,Bosnia and Herzegovina,"88000 Mostar, B&H",43.34161,17.803043
Zagreb,Croatia,"Zagreb, City of Zagreb, Croatia",45.813177,15.977048
Gibraltar,Gibraltar,Gibraltar,36.140807,-5.354129
Athens,Greece,"10431 Athens, Greece",37.984149,23.727984
Thessaloniki,Greece,"54626 Thessaloniki, Greece",40.640317,22.935272
Maroussi,Greece,,,
Kifissia,Greece,"14561 Asty Egyptioton, Greece",38.071401,23.80826
Piraeus,Greece,"18535 Piraeus, Greece",37.944008,23.64836
Moschato,Greece,"18346 Moschato, Greece",37.95351,23.681799
Paraskevi,Greece,"51200 Paraskevi, Greece",39.911235,21.770006
Attica,Greece,"Attica, Greece",36.213189,22.985815
Psichiko,Greece,"41500 Psichiko, Greece",39.435517,22.299442
Attiki,Greece,"Attiki, 144 51 Municipality of Metamorfosi, Greece",38.059883,23.758686
Rome,Italy,"Rome, Roma, Italy",41.894802,12.485338
Bergamo,Italy,"Bergamo, Italy",45.694495,9.669873
Como,Italy,"22100 Como CO, Italy",45.811562,9.083035
MONZA,Italy,"20900 Monza Monza and Brianza, Italy",45.583442,9.273526
Modena,Italy,"Modena, Italy",44.645889,10.925571
Milan,Italy,"Milan, Italy",45.466797,9.190498
Venice,Italy,"Venice, Venezia, Italy",45.437191,12.33459
Siena,Italy,"Siena, Italy",43.318554,11.331653
Torino,Italy,"Turin, Torino, Italy",45.067755,7.682489
Roma,Italy,"Rome, Roma, Italy",41.894802,12.485338
Genoa,Italy,"Genoa, Italy",44.40726,8.933862
