City,Country,Matched address,Latitude,Longitude
Cairo,Egypt,"Cairo, Cairo Governorate, Egypt",30.048819,31.243666
Giza,Egypt,"Giza, 12541, Egypt",30.017006,31.213451
Alexandria,Egypt,"Alexandria, 21519, Egypt",31.199004,29.894378
Damietta,Egypt,"Damietta, Markaz Shirbin, Egypt",31.416743,31.821366
Hurghada,Egypt,"Hurghada, 84532, Egypt",27.240502,33.826784
Suez,Egypt,"Suez Governorate, Egypt",29.661412,32.223918
Assiut,Egypt,"New Assiut, Asyut Governorate, Egypt",27.269356,31.29722
Minya,Egypt,"Minya Governate, Egypt",28.21254,30.912374
Mahikeng,South Africa,"Mahikeng Ward 3, Mahikeng Local Municipality, Ngaka Modiri Molema District Municipality, RSA",-25.700963,25.580996
JOHANNESBURG,South Africa,"Johannesburg, 2001, RSA",-26.205,28.049722
PRETORIA,South Africa,"Pretoria, 0001, RSA",-25.745937,28.187944
Cape Town,South Africa,"Cape Town, 8001, RSA",-33.928992,18.417396
Krugersdorp,South Africa,"Krugersdorp, 1739, RSA",-26.095556,27.775556
Randburg,South Africa,"Randburg, 2125, RSA",-26.096111,27.975
Gauteng,South Africa,"Gauteng, RSA",-25.936344,28.081311
Tygerberg,South Africa,"Tygerberg, Cape Town, 7500, RSA",-33.853814,18.58863
Midrand,South Africa,"Midrand, 1682, RSA",-25.999262,28.125912
Boksburg,South Africa,"Boksburg, 1460, RSA",-26.212464,28.261747
Harding,South Africa,"Harding, Ugu District Municipality, RSA",-30.575833,29.884722
Port Shepstone,South Africa,"Port Shepstone, 4240, RSA",-30.742778,30.450556
Umthatha,South Africa,"Umthatha Street, Tshwane Ward 77, Mnandi A.H., 0158, RSA",-25.908499,28.096714
KwaZulu-Natal,South Africa,"KwaZulu-Natal, RSA",-28.503833,30.887501
Botswana,South Africa,"Botswana Street, Johannesburg Ward 44, Soweto, RSA",-26.212892,27.856599
Balgowan,South Africa,"Balgowan, Cape Town Ward 84, Somerset West, 7129, RSA",-34.072782,18.856009
BEDFORDVIEW,South Africa,"Bedfordview, Gauteng, 2008, RSA",-26.176389,28.1425
Franschhoek,South Africa,"Franschhoek, 7690, RSA",-33.909167,19.119444
Durban,South Africa,"Durban, 4001, RSA",-29.861825,31.009909
Joburg,South Africa,"Johannesburg, City of Johannesburg Metropolitan Municipality, South Africa",-26.20227,28.04363
Fourways,South Africa,"Fourways, Randburg, 2055, RSA",-26.005,28.003889
La Lucia,South Africa,"La Lucia, Durban, 4321, RSA",-29.754722,31.059444
Tongaat,South Africa,"Tongaat, eThekwini Metropolitan Municipality, RSA",-29.560833,31.122222
Sandton,South Africa,"Sandton, 2010, RSA",-26.068241,28.047984
Lonehill,South Africa,"Lonehill, Johannesburg, 2001, RSA",-26.009722,28.026111
Knysna,South Africa,"Knysna, 6570, RSA",-34.035734,23.048485
Honeydew,South Africa,"Honeydew, Roodepoort, City of Johannesburg Metropolitan Municipality, RSA",-26.078839,27.925302
Beacon Bay,South Africa,"Beacon Bay, East London, 5241, RSA",-32.969444,27.944722
Walmer,South Africa,"Walmer, Port Elizabeth, 6000, RSA",-33.978333,25.5874
Lagos,Nigeria,"Lagos 100242, Lagos, Nigeria",6.455058,3.39418
Abuja,Nigeria,"Abuja 900001, Federal Capital Territory, Nigeria",9.064331,7.489297
Kaduna,Nigeria,"Kaduna, Nigeria",10.382532,7.853323
IBADAN,Nigeria,"Ibadan 234102, Oyo, Nigeria",7.377746,3.89725
KANO,Nigeria,"Kano PMB 3401, Kano, Nigeria",11.991867,8.530365
YOBE,Nigeria,"Yobe, Nigeria",12.123324,11.506594
OGUN,Nigeria,"Ogun, Nigeria",6.978858,3.438929
Port Harcourt,Nigeria,"Port Harcourt 500211, Rivers, Nigeria",4.767658,7.018853
Ogun State,Nigeria,"Ogun, Nigeria",6.978858,3.438929
Gwagwalada,Nigeria,"Gwagwalada, Nigeria",8.936026,7.085914
Calabar,Nigeria,"Calabar, Calabar Municipal, Nigeria",4.9796,8.33736
Ilorin,Nigeria,"Ilorin 240212, Kwara, Nigeria",8.496366,4.548048
Delta State,Nigeria,"Delta, Nigeria",5.527306,6.178417
Minna,Nigeria,"Minna, Chanchaga, Nigeria",9.618709,6.547575
Benin,Nigeria,"Benin City 11012, Edo, Nigeria",6.333059,5.622106
Anambra,Nigeria,"Anambra, Nigeria",6.218314,6.953184
Asaba,Nigeria,"Asaba, Oshimili South, Nigeria",6.188193,6.749352
Asokoro,Nigeria,"Asokoro 900001, Federal Capital Territory, Nigeria",9.051982,7.530019
Ondo State,Nigeria,"Ondo, Nigeria",7.020969,5.056748
Lekki,Nigeria,New York,40.741895,-73.989308
Gudu,Nigeria,"Gudu, Song, Nigeria",9.916667,12.533333
Akwa Ibom,Nigeria,"Akwa Ibom, Nigeria",4.940864,7.841227
Benue State,Nigeria,"Benue, Nigeria",7.350575,8.777288
Plateau,Nigeria,"Plateau, Nigeria",9.058345,9.682629
Casablanca,Morocco,"20 000 Casablanca, Morocco",33.595063,-7.618777
Agadir,Morocco,"Agadir, Pachalik d'Agadir ⵍⴱⴰⵛⴰⵡⵉⵢⴰ ⵏ ⴰⴳⴰⴷⵉⵔ أگادير ‎باشوية, Morocco",30.421114,-9.583063
Rabat,Morocco,"Rabat, pachalik de Rabat, Morocco",34.022405,-6.834543
Marrakesh,Morocco,"40034 Marrakesh, Morocco",31.625826,-7.989161
Tangier,Morocco,"Tangier, pachalik de Tanger طنجة, Morocco",35.764231,-5.818626
